depth_m,c0,c1,c2,std
5,2.05E-01,1.32E+00,-1.17E-01,0.119
6,-6.07E-02,1.48E+00,-1.42E-01,0.111
7,-2.74E-01,1.61E+00,-1.60E-01,0.103
8,-3.72E-01,1.65E+00,-1.63E-01,0.097
9,-4.94E-01,1.71E+00,-1.69E-01,0.09
10,-5.44E-01,1.72E+00,-1.67E-01,0.084
11,-6.01E-01,1.73E+00,-1.65E-01,0.078
12,-6.08E-01,1.71E+00,-1.58E-01,0.072
13,-6.32E-01,1.70E+00,-1.52E-01,0.067
14,-6.12E-01,1.66E+00,-1.42E-01,0.062
15,-5.78E-01,1.61E+00,-1.30E-01,0.056
16,-5.43E-01,1.57E+00,-1.19E-01,0.052
17,-5.28E-01,1.54E+00,-1.12E-01,0.047
18,-4.96E-01,1.49E+00,-1.02E-01,0.043
19,-4.55E-01,1.45E+00,-9.16E-02,0.038
20,-4.06E-01,1.40E+00,-8.06E-02,0.035
21,-3.83E-01,1.37E+00,-7.34E-02,0.03
22,-3.53E-01,1.33E+00,-6.59E-02,0.027
23,-3.16E-01,1.29E+00,-5.75E-02,0.023
24,-2.74E-01,1.25E+00,-4.90E-02,0.019
25,-2.23E-01,1.20E+00,-3.94E-02,0.016
26,-1.77E-01,1.16E+00,-3.09E-02,0.013
27,-1.35E-01,1.12E+00,-2.31E-02,0.009
28,-9.04E-02,1.08E+00,-1.53E-02,0.006
29,-4.61E-02,1.04E+00,-7.62E-03,0.003
